gene	KO	pathway	description
OCG00073	K00129	map01100	Metabolic pathways
OCG00073	K00129	map01110	Biosynthesis of secondary metabolites
OCG00073	K17819	map01100	Metabolic pathways
OCG00073	K17819	map01110	Biosynthesis of secondary metabolites
OCG00074	K04371	map04011	MAPK signaling pathway - yeast
OCG00074	K04371	map04111	Cell cycle - yeast
OCG00075	K00799	map00480	Glutathione metabolism
OCG00075	K00799	map01100	Metabolic pathways
OCG00076	K00234	map00020	Citrate cycle (TCA cycle)
OCG00076	K00234	map00190	Oxidative phosphorylation
OCG00076	K00234	map01100	Metabolic pathways
OCG00076	K00234	map01110	Biosynthesis of secondary metabolites
OCG00076	K00234	map01200	Carbon metabolism
OCG00083	K05661	map02010	ABC transporters
OCG00084	K04802	map03030	DNA replication
OCG00084	K04802	map03410	Base excision repair
OCG00084	K04802	map03420	Nucleotide excision repair
OCG00084	K04802	map03430	Mismatch repair
OCG00087	K07937	map04144	Endocytosis
OCG00089	K04393	map04011	MAPK signaling pathway - yeast
OCG00089	K04393	map04144	Endocytosis
OCG00091	K12595	map03015	mRNA surveillance pathway
OCG00091	K12595	map03018	RNA degradation
OCG00091	K14416	map03015	mRNA surveillance pathway
OCG00092	K13237	map04146	Peroxisome
OCG00096	K10808	map00230	Purine metabolism
OCG00096	K10808	map00240	Pyrimidine metabolism
OCG00096	K10808	map00480	Glutathione metabolism
OCG00096	K10808	map01100	Metabolic pathways
OCG00096	K10808	map01232	Nucleotide metabolism
OCG00098	K02978	map03010	Ribosome
OCG00099	K01679	map00020	Citrate cycle (TCA cycle)
OCG00099	K01679	map00620	Pyruvate metabolism
OCG00099	K01679	map01100	Metabolic pathways
OCG00099	K01679	map01110	Biosynthesis of secondary metabolites
OCG00099	K01679	map01200	Carbon metabolism
OCG00102	K01897	map00061	Fatty acid biosynthesis
OCG00102	K01897	map00071	Fatty acid degradation
OCG00102	K01897	map01100	Metabolic pathways
OCG00102	K01897	map01212	Fatty acid metabolism
OCG00102	K01897	map04146	Peroxisome
OCG00104	K07375	map04145	Phagosome
OCG00107	K14376	map03015	mRNA surveillance pathway
OCG00108	K00231	map00860	Porphyrin metabolism
OCG00108	K00231	map01100	Metabolic pathways
OCG00108	K00231	map01110	Biosynthesis of secondary metabolites
OCG00108	K00231	map01240	Biosynthesis of cofactors
OCG00110	K03843	map00510	N-Glycan biosynthesis
OCG00110	K03843	map00513	Various types of N-glycan biosynthesis
OCG00110	K03843	map01100	Metabolic pathways
OCG00111	K00830	map00250	Alanine, aspartate and glutamate metabolism
OCG00111	K00830	map00260	Glycine, serine and threonine metabolism
OCG00111	K00830	map00630	Glyoxylate and dicarboxylate metabolism
OCG00111	K00830	map00680	Methane metabolism
OCG00111	K00830	map01100	Metabolic pathways
OCG00111	K00830	map01110	Biosynthesis of secondary metabolites
OCG00111	K00830	map01200	Carbon metabolism
OCG00111	K00830	map04146	Peroxisome
OCG00112	K00863	map00051	Fructose and mannose metabolism
OCG00112	K00863	map00561	Glycerolipid metabolism
OCG00112	K00863	map00680	Methane metabolism
OCG00112	K00863	map01100	Metabolic pathways
OCG00112	K00863	map01200	Carbon metabolism
OCG00113	K04709	map00600	Sphingolipid metabolism
OCG00113	K04709	map01100	Metabolic pathways
OCG00115	K13509	map00561	Glycerolipid metabolism
OCG00115	K13509	map00564	Glycerophospholipid metabolism
OCG00115	K13509	map01100	Metabolic pathways
OCG00115	K13509	map01110	Biosynthesis of secondary metabolites
OCG00116	K06116	map00561	Glycerolipid metabolism
OCG00116	K06116	map01100	Metabolic pathways
OCG00116	K06117	map00561	Glycerolipid metabolism
OCG00116	K06117	map01100	Metabolic pathways
OCG00118	K10743	map03030	DNA replication
OCG00119	K07179	map03008	Ribosome biogenesis in eukaryotes
OCG00127	K02736	map03050	Proteasome
OCG00128	K01078	map00730	Thiamine metabolism
OCG00128	K01078	map00740	Riboflavin metabolism
OCG00128	K01078	map01100	Metabolic pathways
OCG00129	K00015	map00630	Glyoxylate and dicarboxylate metabolism
OCG00129	K00015	map01100	Metabolic pathways
OCG00129	K00015	map01110	Biosynthesis of secondary metabolites
OCG00130	K02938	map03010	Ribosome
OCG00131	K01188	map00460	Cyanoamino acid metabolism
OCG00131	K01188	map00500	Starch and sucrose metabolism
OCG00131	K01188	map00999	Biosynthesis of various plant secondary metabolites
OCG00131	K01188	map01100	Metabolic pathways
OCG00131	K01188	map01110	Biosynthesis of secondary metabolites
OCG00131	K05349	map00460	Cyanoamino acid metabolism
OCG00131	K05349	map00500	Starch and sucrose metabolism
OCG00131	K05349	map00999	Biosynthesis of various plant secondary metabolites
OCG00131	K05349	map01100	Metabolic pathways
OCG00131	K05349	map01110	Biosynthesis of secondary metabolites
OCG00133	K02999	map03020	RNA polymerase
OCG00134	K05349	map00460	Cyanoamino acid metabolism
OCG00134	K05349	map00500	Starch and sucrose metabolism
OCG00134	K05349	map00999	Biosynthesis of various plant secondary metabolites
OCG00134	K05349	map01100	Metabolic pathways
OCG00134	K05349	map01110	Biosynthesis of secondary metabolites
OCG00135	K00287	map00670	One carbon pool by folate
OCG00135	K00287	map00790	Folate biosynthesis
OCG00135	K00287	map01100	Metabolic pathways
OCG00135	K00287	map01240	Biosynthesis of cofactors
OCG00136	K14005	map04141	Protein processing in endoplasmic reticulum
OCG00138	K12626	map03018	RNA degradation
OCG00138	K12626	map03040	Spliceosome
OCG00139	K01918	map00410	beta-Alanine metabolism
OCG00139	K01918	map00770	Pantothenate and CoA biosynthesis
OCG00139	K01918	map01100	Metabolic pathways
OCG00139	K01918	map01110	Biosynthesis of secondary metabolites
OCG00139	K01918	map01240	Biosynthesis of cofactors
OCG00141	K02920	map03010	Ribosome
OCG00143	K13535	map00564	Glycerophospholipid metabolism
OCG00144	K01649	map00290	Valine, leucine and isoleucine biosynthesis
OCG00144	K01649	map00620	Pyruvate metabolism
OCG00144	K01649	map01100	Metabolic pathways
OCG00144	K01649	map01110	Biosynthesis of secondary metabolites
OCG00144	K01649	map01210	2-Oxocarboxylic acid metabolism
OCG00144	K01649	map01230	Biosynthesis of amino acids
OCG00146	K08738	map00190	Oxidative phosphorylation
OCG00146	K08738	map01100	Metabolic pathways
OCG00147	K01509	map00230	Purine metabolism
OCG00147	K01509	map01100	Metabolic pathways
OCG00147	K01509	map01110	Biosynthesis of secondary metabolites
OCG00147	K01509	map01232	Nucleotide metabolism
OCG00147	K03695	map04213	Longevity regulating pathway - multiple species
OCG00148	K00762	map00240	Pyrimidine metabolism
OCG00148	K00762	map01100	Metabolic pathways
OCG00148	K00762	map01240	Biosynthesis of cofactors
OCG00148	K01591	map00240	Pyrimidine metabolism
OCG00148	K01591	map01100	Metabolic pathways
OCG00148	K01591	map01240	Biosynthesis of cofactors
OCG00148	K13421	map00240	Pyrimidine metabolism
OCG00148	K13421	map01100	Metabolic pathways
OCG00148	K13421	map01240	Biosynthesis of cofactors
OCG00150	K12859	map03040	Spliceosome
OCG00151	K03942	map00190	Oxidative phosphorylation
OCG00151	K03942	map01100	Metabolic pathways
OCG00152	K00432	map00480	Glutathione metabolism
OCG00152	K00432	map00590	Arachidonic acid metabolism
OCG00152	K00432	map01100	Metabolic pathways
OCG00157	K14758	map03008	Ribosome biogenesis in eukaryotes
OCG00158	K04523	map04141	Protein processing in endoplasmic reticulum
OCG00159	K00162	map00010	Glycolysis / Gluconeogenesis
OCG00159	K00162	map00020	Citrate cycle (TCA cycle)
OCG00159	K00162	map00620	Pyruvate metabolism
OCG00159	K00162	map01100	Metabolic pathways
OCG00159	K00162	map01110	Biosynthesis of secondary metabolites
OCG00159	K00162	map01200	Carbon metabolism
OCG00160	K03115	map03008	Ribosome biogenesis in eukaryotes
OCG00160	K03115	map04139	Mitophagy - yeast
OCG00161	K02867	map03010	Ribosome
OCG00163	K02992	map03010	Ribosome
OCG00164	K01476	map00220	Arginine biosynthesis
OCG00164	K01476	map00330	Arginine and proline metabolism
OCG00164	K01476	map01100	Metabolic pathways
OCG00164	K01476	map01110	Biosynthesis of secondary metabolites
OCG00164	K01476	map01230	Biosynthesis of amino acids
OCG00165	K00122	map00630	Glyoxylate and dicarboxylate metabolism
OCG00165	K00122	map00680	Methane metabolism
OCG00165	K00122	map01100	Metabolic pathways
OCG00165	K00122	map01200	Carbon metabolism
OCG00166	K02146	map00190	Oxidative phosphorylation
OCG00166	K02146	map01100	Metabolic pathways
OCG00166	K02146	map04145	Phagosome
OCG00167	K00864	map00561	Glycerolipid metabolism
OCG00167	K00864	map01100	Metabolic pathways
OCG00169	K03841	map00010	Glycolysis / Gluconeogenesis
OCG00169	K03841	map00030	Pentose phosphate pathway
OCG00169	K03841	map00051	Fructose and mannose metabolism
OCG00169	K03841	map00680	Methane metabolism
OCG00169	K03841	map01100	Metabolic pathways
OCG00169	K03841	map01110	Biosynthesis of secondary metabolites
OCG00169	K03841	map01200	Carbon metabolism
OCG00170	K01756	map00230	Purine metabolism
OCG00170	K01756	map00250	Alanine, aspartate and glutamate metabolism
OCG00170	K01756	map01100	Metabolic pathways
OCG00170	K01756	map01110	Biosynthesis of secondary metabolites
OCG00170	K01756	map01232	Nucleotide metabolism
OCG00170	K01756	map01240	Biosynthesis of cofactors
OCG00171	K16329	map00240	Pyrimidine metabolism
OCG00171	K16329	map01100	Metabolic pathways
OCG00171	K16330	map00240	Pyrimidine metabolism
OCG00171	K16330	map01100	Metabolic pathways
OCG00172	K10251	map00062	Fatty acid elongation
OCG00172	K10251	map01040	Biosynthesis of unsaturated fatty acids
OCG00172	K10251	map01100	Metabolic pathways
OCG00172	K10251	map01110	Biosynthesis of secondary metabolites
OCG00172	K10251	map01212	Fatty acid metabolism
OCG00174	K00295	map00670	One carbon pool by folate
OCG00174	K00295	map01100	Metabolic pathways
OCG00178	K05757	map04138	Autophagy - yeast
OCG00178	K05757	map04144	Endocytosis
OCG00179	K01810	map00010	Glycolysis / Gluconeogenesis
OCG00179	K01810	map00030	Pentose phosphate pathway
OCG00179	K01810	map00500	Starch and sucrose metabolism
OCG00179	K01810	map00520	Amino sugar and nucleotide sugar metabolism
OCG00179	K01810	map01100	Metabolic pathways
OCG00179	K01810	map01110	Biosynthesis of secondary metabolites
OCG00179	K01810	map01200	Carbon metabolism
OCG00179	K01810	map01250	Biosynthesis of nucleotide sugars
OCG00180	K15544	map03015	mRNA surveillance pathway
OCG00182	K14561	map03008	Ribosome biogenesis in eukaryotes
OCG00184	K06125	map00130	Ubiquinone and other terpenoid-quinone biosynthesis
OCG00184	K06125	map01100	Metabolic pathways
OCG00184	K06125	map01110	Biosynthesis of secondary metabolites
OCG00184	K06125	map01240	Biosynthesis of cofactors
OCG00185	K03115	map03008	Ribosome biogenesis in eukaryotes
OCG00185	K03115	map04139	Mitophagy - yeast
OCG00186	K02220	map04011	MAPK signaling pathway - yeast
OCG00186	K02220	map04111	Cell cycle - yeast
OCG00186	K02220	map04113	Meiosis - yeast
OCG00186	K06659	map04111	Cell cycle - yeast
OCG00186	K06659	map04113	Meiosis - yeast
OCG00187	K01336	map04138	Autophagy - yeast
OCG00188	K01870	map00970	Aminoacyl-tRNA biosynthesis
OCG00189	K00763	map00760	Nicotinate and nicotinamide metabolism
OCG00189	K00763	map01100	Metabolic pathways
OCG00189	K00763	map01240	Biosynthesis of cofactors
OCG00191	K00814	map00220	Arginine biosynthesis
OCG00191	K00814	map00250	Alanine, aspartate and glutamate metabolism
OCG00191	K00814	map01100	Metabolic pathways
OCG00191	K00814	map01200	Carbon metabolism
OCG00191	K00814	map01210	2-Oxocarboxylic acid metabolism
OCG00191	K00814	map01230	Biosynthesis of amino acids
OCG00192	K10777	map03450	Non-homologous end-joining
OCG00192	K12827	map03040	Spliceosome
OCG00196	K13354	map04146	Peroxisome
OCG00199	K00384	map00450	Selenocompound metabolism
OCG00200	K15628	map02010	ABC transporters
OCG00200	K15628	map04146	Peroxisome
OCG00201	K12811	map03040	Spliceosome
OCG00202	K00940	map00230	Purine metabolism
OCG00202	K00940	map00240	Pyrimidine metabolism
OCG00202	K00940	map01100	Metabolic pathways
OCG00202	K00940	map01110	Biosynthesis of secondary metabolites
OCG00202	K00940	map01232	Nucleotide metabolism
OCG00202	K00940	map01240	Biosynthesis of cofactors
OCG00203	K18097	map00561	Glycerolipid metabolism
OCG00203	K18097	map01100	Metabolic pathways
OCG00205	K03014	map03020	RNA polymerase
OCG00206	K05657	map02010	ABC transporters
OCG00207	K01954	map00240	Pyrimidine metabolism
OCG00207	K01954	map00250	Alanine, aspartate and glutamate metabolism
OCG00207	K01954	map01100	Metabolic pathways
OCG00207	K01954	map01240	Biosynthesis of cofactors
OCG00207	K11541	map00240	Pyrimidine metabolism
OCG00207	K11541	map00250	Alanine, aspartate and glutamate metabolism
OCG00207	K11541	map01100	Metabolic pathways
OCG00207	K11541	map01240	Biosynthesis of cofactors
OCG00208	K14536	map03008	Ribosome biogenesis in eukaryotes
OCG00214	K06666	map04011	MAPK signaling pathway - yeast
OCG00214	K06666	map04111	Cell cycle - yeast
OCG00215	K17065	map04139	Mitophagy - yeast
OCG00220	K01868	map00970	Aminoacyl-tRNA biosynthesis
OCG00221	K04345	map04113	Meiosis - yeast
OCG00221	K04345	map04138	Autophagy - yeast
OCG00221	K04345	map04213	Longevity regulating pathway - multiple species
OCG00222	K01535	map00190	Oxidative phosphorylation
OCG00222	K01535	map01100	Metabolic pathways
OCG00225	K11423	map00310	Lysine degradation
OCG00225	K11423	map01100	Metabolic pathways
OCG00228	K00297	map00670	One carbon pool by folate
OCG00228	K00297	map01100	Metabolic pathways
OCG00228	K00297	map01200	Carbon metabolism
OCG00229	K10848	map03420	Nucleotide excision repair
OCG00233	K04354	map03015	mRNA surveillance pathway
OCG00233	K04354	map04111	Cell cycle - yeast
OCG00235	K17260	map04138	Autophagy - yeast
OCG00235	K17260	map04144	Endocytosis
OCG00236	K02264	map00190	Oxidative phosphorylation
OCG00236	K02264	map01100	Metabolic pathways
OCG00241	K00382	map00010	Glycolysis / Gluconeogenesis
OCG00241	K00382	map00020	Citrate cycle (TCA cycle)
OCG00241	K00382	map00260	Glycine, serine and threonine metabolism
OCG00241	K00382	map00280	Valine, leucine and isoleucine degradation
OCG00241	K00382	map00310	Lysine degradation
OCG00241	K00382	map00380	Tryptophan metabolism
OCG00241	K00382	map00620	Pyruvate metabolism
OCG00241	K00382	map00630	Glyoxylate and dicarboxylate metabolism
OCG00241	K00382	map00640	Propanoate metabolism
OCG00241	K00382	map01100	Metabolic pathways
OCG00241	K00382	map01110	Biosynthesis of secondary metabolites
OCG00241	K00382	map01200	Carbon metabolism
OCG00241	K00382	map01240	Biosynthesis of cofactors
OCG00242	K14009	map04141	Protein processing in endoplasmic reticulum
OCG00245	K03029	map03050	Proteasome
OCG00246	K02541	map03030	DNA replication
OCG00246	K02541	map04111	Cell cycle - yeast
OCG00246	K02541	map04113	Meiosis - yeast
OCG00247	K12196	map03250	Viral life cycle - HIV-1
OCG00247	K12196	map04144	Endocytosis
OCG00248	K01647	map00020	Citrate cycle (TCA cycle)
OCG00248	K01647	map00630	Glyoxylate and dicarboxylate metabolism
OCG00248	K01647	map01100	Metabolic pathways
OCG00248	K01647	map01110	Biosynthesis of secondary metabolites
OCG00248	K01647	map01200	Carbon metabolism
OCG00248	K01647	map01210	2-Oxocarboxylic acid metabolism
OCG00248	K01647	map01230	Biosynthesis of amino acids
OCG00250	K09831	map00100	Steroid biosynthesis
OCG00250	K09831	map01100	Metabolic pathways
OCG00250	K09831	map01110	Biosynthesis of secondary metabolites
OCG00251	K00030	map00020	Citrate cycle (TCA cycle)
OCG00251	K00030	map01100	Metabolic pathways
OCG00251	K00030	map01110	Biosynthesis of secondary metabolites
OCG00251	K00030	map01200	Carbon metabolism
OCG00251	K00030	map01210	2-Oxocarboxylic acid metabolism
OCG00251	K00030	map01230	Biosynthesis of amino acids
OCG00254	K11996	map04122	Sulfur relay system
OCG00255	K03020	map03020	RNA polymerase
OCG00258	K00766	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis
OCG00258	K00766	map01100	Metabolic pathways
OCG00258	K00766	map01110	Biosynthesis of secondary metabolites
OCG00258	K00766	map01230	Biosynthesis of amino acids
OCG00260	K02155	map00190	Oxidative phosphorylation
OCG00260	K02155	map01100	Metabolic pathways
OCG00260	K02155	map04145	Phagosome
OCG00262	K13280	map03060	Protein export
OCG00264	K01772	map00860	Porphyrin metabolism
OCG00264	K01772	map01100	Metabolic pathways
OCG00264	K01772	map01110	Biosynthesis of secondary metabolites
OCG00264	K01772	map01240	Biosynthesis of cofactors
OCG00265	K01930	map00790	Folate biosynthesis
OCG00265	K01930	map01100	Metabolic pathways
OCG00265	K01930	map01240	Biosynthesis of cofactors
OCG00266	K14642	map00230	Purine metabolism
OCG00266	K14642	map00240	Pyrimidine metabolism
OCG00266	K14642	map01100	Metabolic pathways
OCG00266	K14642	map01110	Biosynthesis of secondary metabolites
OCG00266	K14642	map01232	Nucleotide metabolism
OCG00267	K07827	map04113	Meiosis - yeast
OCG00267	K07827	map04138	Autophagy - yeast
OCG00267	K07827	map04213	Longevity regulating pathway - multiple species
OCG00269	K00858	map00760	Nicotinate and nicotinamide metabolism
OCG00269	K00858	map01100	Metabolic pathways
OCG00269	K00858	map01240	Biosynthesis of cofactors
OCG00270	K03063	map03050	Proteasome
OCG00271	K00286	map00330	Arginine and proline metabolism
OCG00271	K00286	map01100	Metabolic pathways
OCG00271	K00286	map01110	Biosynthesis of secondary metabolites
OCG00271	K00286	map01230	Biosynthesis of amino acids
OCG00272	K12766	map04113	Meiosis - yeast
OCG00277	K18532	map00230	Purine metabolism
OCG00277	K18532	map01100	Metabolic pathways
OCG00277	K18532	map01110	Biosynthesis of secondary metabolites
OCG00277	K18532	map01232	Nucleotide metabolism
OCG00277	K18532	map01240	Biosynthesis of cofactors
OCG00277	K18532	map03008	Ribosome biogenesis in eukaryotes
OCG00279	K00759	map00230	Purine metabolism
OCG00279	K00759	map01100	Metabolic pathways
OCG00279	K00759	map01232	Nucleotide metabolism
OCG00281	K15918	map00260	Glycine, serine and threonine metabolism
OCG00281	K15918	map00561	Glycerolipid metabolism
OCG00281	K15918	map00630	Glyoxylate and dicarboxylate metabolism
OCG00281	K15918	map01100	Metabolic pathways
OCG00281	K15918	map01110	Biosynthesis of secondary metabolites
OCG00281	K15918	map01200	Carbon metabolism
OCG00283	K04536	map04011	MAPK signaling pathway - yeast
OCG00284	K13337	map04146	Peroxisome
OCG00286	K01183	map00520	Amino sugar and nucleotide sugar metabolism
OCG00286	K01183	map01100	Metabolic pathways
OCG00291	K02940	map03010	Ribosome
OCG00292	K02922	map03010	Ribosome
OCG00295	K03032	map03050	Proteasome
OCG00297	K00133	map00260	Glycine, serine and threonine metabolism
OCG00297	K00133	map00261	Monobactam biosynthesis
OCG00297	K00133	map00270	Cysteine and methionine metabolism
OCG00297	K00133	map00300	Lysine biosynthesis
OCG00297	K00133	map01100	Metabolic pathways
OCG00297	K00133	map01110	Biosynthesis of secondary metabolites
OCG00297	K00133	map01210	2-Oxocarboxylic acid metabolism
OCG00297	K00133	map01230	Biosynthesis of amino acids
OCG00298	K02877	map03010	Ribosome
OCG00299	K00222	map00100	Steroid biosynthesis
OCG00299	K00222	map01100	Metabolic pathways
OCG00299	K00222	map01110	Biosynthesis of secondary metabolites
OCG00301	K12584	map03018	RNA degradation
OCG00302	K11232	map04011	MAPK signaling pathway - yeast
OCG00303	K17065	map04139	Mitophagy - yeast
OCG00305	K17103	map00260	Glycine, serine and threonine metabolism
OCG00305	K17103	map00564	Glycerophospholipid metabolism
OCG00305	K17103	map01100	Metabolic pathways
OCG00305	K17103	map01110	Biosynthesis of secondary metabolites
OCG00306	K21618	map00620	Pyruvate metabolism
OCG00306	K21618	map01100	Metabolic pathways
OCG00308	K01518	map00230	Purine metabolism
